division,year,disaster_number,incident_number,incident_name,start_date,fiscal_year,incident_state,disaster_type,disaster_level,total_destroyed_major,total_units_affected,verified_deaths,verified_hospitalized_ill_injured,total_client_shelters_opened,total_overnight_shelter_stays,x_new_shelter_registrations,total_volunters
SWARM,2014,685-14,108461,Everman TX 1/14 MFF,1/2/14,2014,TX,FIR,2,0,0,0,4,1,42,21,42
Northeast,2014,693-14,108530,N Attleboro MA 1/14 MFF,1/3/14,2014,MA,FIR,2,0,0,0,0,0,0,0,11
Crossroads,2014,700-14,108549,WV 1/14 HAZ,1/9/14,2014,WV,HAZ,3,0,0,0,0,0,0,0,66
Pacific,2014,701-14,108579,Anchorage AK 1/14 MFF,1/13/14,2014,AK,FIR,2,0,0,0,0,1,22,22,14
Pacific,2014,302-14,108896,Redwood City CA 1/14 MFF,1/17/14,2014,CA,FIR,2,0,0,0,0,0,0,0,25
Northeast,2014,706-14,108655,Union City NJ 1/14 MFF,1/24/14,2014,NJ,FIR,2,0,0,0,0,1,49,35,42
Northeast,2014,719-14,108691,Super Bowl XLVIII 1/14 NJ,1/29/14,2014,NJ,OTH,2,0,0,0,0,0,0,0,23
Pacific,2014,739-14,108695,Geraghty AK1/14 MFF,1/29/14,2014,AK,FIR,2,23,23,2,4,1,5,5,0
Crossroads,2014,817-14,108722,Westover WV MFF,1/31/14,2014,WV,FIR,2,0,0,0,6,0,0,0,6
SE and Caribbean,2014,833-14,108728,Atlanta GA 2/14 MFF,2/2/14,2014,GA,FIR,2,0,0,0,0,0,0,0,17
Mid Atlantic,2014,840-14,108744,PA 2014 Ice Storm,2/5/14,2014,PA,OTH,3,0,0,0,0,10,617,701,161
SE and Caribbean,2014,292-14,108788,GA 2/14 Winter Storm,2/10/14,2014,GA,BLI,3,0,0,0,0,0,0,0,0
Mid Atlantic,2014,300-14,108802,E. NC 2/14 Winter Storm,2/10/14,2014,NC,BLI,2,0,0,0,0,10,85,69,75
Mid Atlantic,2014,298-14,108789,SC 2-14 Winter Storm,2/11/14,2014,SC,BLI,3,0,0,5,1,26,872,485,134
SWARM,2014,305-14,108949,2014 WY Spring Flood,3/7/14,2014,WY,FLD,2,1,50,0,0,2,87,87,13
Northeast,2014,308-14,108974,Harlem NY 3/14 Explosion,3/12/14,2014,NY,BDC,3,16,16,8,66,1,115,121,215
SWARM,2014,310-14,108987,Austin TX 3/14 TRA,3/13/14,2014,TX,TRA,2,0,0,0,48,0,0,0,21
Northeast,2014,318-14,109033,Mariner's Cove Fire,3/21/14,2014,NJ,FIR,2,0,0,4,8,0,0,0,5
Pacific,2014,320-14,109035,Oso WA 3-14 FLD,3/22/14,2014,WA,FLD,4,0,0,42,34,3,142,32,459
SWARM,2014,327-14,109039,Irving TX 3-14 MFF,3/22/14,2014,TX,FIR,2,0,0,0,0,0,0,0,9
Mid Atlantic,2014,323-14,109067,Mifflin County PA MFF,3/27/14,2014,PA,FIR,2,0,0,0,0,0,0,0,8
Pacific,2014,938-14,108766,EXERCISEAlaskaShield 3/14,3/27/14,2014,AK,EXE,7,0,0,0,0,50,9883,49243,2250
SWARM,2014,329-14,109088,North TX 4-14 Tornados,4/3/14,2014,TX,FLT,2,40,269,0,1,1,0,0,68
SWARM,2014,331-14,109090,South Arkansas 4/14 TOR,4/4/14,2014,AR,TOR,2,56,74,2,0,0,0,0,29
SE and Caribbean,2014,333-14,109098,Central AL 4/14 FLT,4/7/14,2014,AL,FLT,2,0,0,0,0,3,62,100,27
SE and Caribbean,2014,334-14,109099,MS 4/14 TOR,4/7/14,2014,MS,TOR,2,40,216,2,3,1,0,37,73
Pacific,2014,336-14,109135,CA Bus Crash 4/14,4/10/14,2014,CA,TRA,4,0,0,8,73,1,8,0,111
SE and Caribbean,2014,936-14,109133,2014 National Mass Care Ex,4/11/14,2014,FL,HUR,2,0,0,0,0,0,0,0,0
Pacific,2014,337-14,109146,Spokane WA 04/14 MFF,4/12/14,2014,WA,FIR,2,0,0,0,0,1,99,45,31
Crossroads,2014,340-14,109180,Toledo OH 04/14 MFF,4/12/14,2014,OH,FIR,2,24,24,0,1,0,0,0,6
SE and Caribbean,2014,338-14,109149,Norcross GA 4/14 Apt. Fire,4/14/14,2014,GA,FIR,2,0,0,0,0,0,0,0,18
Pacific,2014,881-14,109208,Klose-IN Gas Explosion,4/14/14,2014,WA,EXP,2,0,0,0,0,0,0,0,0
SWARM,2014,011-14,109216,Jonesboro AR 4/14 MFF,4/22/14,2014,AR,FIR,2,7,50,1,0,2,30,2,37
Crossroads,2014,012-14,109217,WEST MI 4/14 FLOODS,4/22/14,2014,MI,FLD,2,7,60,0,0,1,3,3,60
Mid Atlantic,2014,018-14,109231,Eastern NC 4/14 Tornado,4/25/14,2014,NC,TOR,3,152,324,2,8,3,16,26,139
SWARM,2014,019-14,109235,04/14 AR FLT,4/27/14,2014,AR,FLT,4,809,1137,16,163,7,173,154,522
SE and Caribbean,2014,020-14,109238,TN 4-14 Storms,4/27/14,2014,TN,TOR,3,76,287,2,0,1,0,9,97
North Central,2014,021-14,109241,Baxter Springs KS 4/14 TOR,4/27/14,2014,KS,TOR,3,0,0,0,14,1,22,18,71
SWARM,2014,022-14,109242,OTTAWA OK 4-14 TOR,4/27/14,2014,OK,TOR,2,0,0,1,0,1,0,0,30
North Central,2014,027-14,109249,MO 04/14 FLT,4/27/14,2014,MO,FLT,2,87,123,0,0,1,5,7,18
SE and Caribbean,2014,023-14,109244,AL 4/14 FLT,4/28/14,2014,AL,TOR,4,0,0,2,14,11,441,1364,303
SE and Caribbean,2014,024-14,109247,MS 04/14 Tornadoes,4/28/14,2014,MS,TOR,4,949,2276,14,119,6,678,462,358
SE and Caribbean,2014,025-14,109245,Georgia 4/14 FLT,4/28/14,2014,GA,OST,2,0,0,0,0,0,0,0,14
SE and Caribbean,2014,028-14,109250,North FL 4/14 FLT,4/29/14,2014,FL,FLT,4,0,0,1,1,9,899,132,200
Northeast,2014,030-14,109264,New York City NY 4/14 FLD,5/1/14,2014,NY,FLD,2,0,0,0,0,0,0,0,54
SWARM,2014,031-14,109270,OK 5/14 FOR,5/1/14,2014,OK,FOR,2,0,0,1,0,1,23,23,77
Mid Atlantic,2014,038-14,109305,PG Co MD 5/14 Landslide,5/5/14,2014,MD,FLD,2,0,24,0,0,0,0,0,63
Northeast,2014,040-14,109308,Salem MA 5/14 MFF,5/6/14,2014,MA,FIR,2,0,0,0,0,0,0,0,13
Northeast,2014,039-14,109307,Haverhill MA 5/14 MFF,5/7/14,2014,MA,FIR,2,0,0,0,0,0,0,0,17
Northeast,2014,032-14,109279,911 Museum Opening 5/14 NY,5/8/14,2014,NY,OTH,2,0,0,0,0,0,0,0,109
SWARM,2014,033-14,109285,South Texas 5/14 SS-Oth,5/9/14,2014,TX,OTH,3,0,0,0,0,0,0,0,0
North Central,2014,034-14,109287,Ray County MO 5/14 TOR,5/10/14,2014,MO,TOR,2,0,0,0,0,1,0,0,32
SWARM,2014,036-14,109289,NO TX 5/14 FOR,5/11/14,2014,TX,FOR,3,233,237,0,0,3,108,105,122
North Central,2014,037-14,109291,NE / SW IA 5/14 Storms,5/11/14,2014,NE,TOR,2,0,0,0,0,1,13,13,50
Pacific,2014,041-14,109316,San Diego Co CA 5/14 FOR,5/13/14,2014,CA,FOR,3,87,119,1,0,4,533,483,256
Crossroads,2014,042-14,109325,NE Ohio 5/14 FLD,5/13/14,2014,OH,FLD,2,0,0,0,0,2,21,26,69
Pacific,2014,044-14,109330,San Bruno CA 5/14 MFF,5/13/14,2014,CA,FIR,2,0,0,0,0,0,0,0,10
Northeast,2014,046-14,109334,Western NY 5/14 FLD,5/16/14,2014,NY,FLT,2,0,0,0,0,2,34,38,0
Pacific,2014,050-14,109379,Anchorage AK 5/14 MFF,5/19/14,2014,AK,FIR,2,6,6,0,0,0,0,0,0
SWARM,2014,047-14,109357,Coconino Co AZ 5/14 FOR,5/20/14,2014,AZ,FOR,2,0,0,0,16,1,56,24,36
Mid Atlantic,2014,048-14,109356,Elk County PA 5/14 FLD,5/21/14,2014,PA,FLT,2,0,0,0,0,1,9,12,32
Pacific,2014,049-14,109371,Kenai AK 5/14 FOR,5/21/14,2014,AK,FOR,2,0,150,0,0,2,11,9,17
Crossroads,2014,055-14,109406,McDowell Co WV 6/14 FLD,6/5/14,2014,WV,FLD,2,2,56,0,0,0,0,0,45
SWARM,2014,056-14,109409,NE AR 6/14 TOR,6/5/14,2014,AR,TOR,2,0,0,2,0,3,0,0,26
